/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/9/22/,confirmed and probable,Winnebago County,3817,3652,165,14045
2020/9/23/,confirmed and probable,Winnebago County,3992,3823,169,14045
2020/9/24/,confirmed and probable,Winnebago County,4150,3979,171,14045
2020/9/25/,confirmed and probable,Winnebago County,4333,4159,174,14045
2020/9/26/,confirmed and probable,Winnebago County,4451,4274,177,14045
2020/9/27/,confirmed and probable,Winnebago County,4519,4341,178,14045
2020/9/28/,confirmed and probable,Winnebago County,4733,4554,179,14045
2020/9/29/,confirmed and probable,Winnebago County,4933,4751,182,14045
2020/9/30/,confirmed and probable,Winnebago County,5317,5132,185,14045
2020/10/1/,confirmed and probable,Winnebago County,5680,5487,193,14045
2020/10/2/,confirmed and probable,Winnebago County,5843,5641,202,14045
2020/10/3/,confirmed and probable,Winnebago County,5963,5759,204,14045
2020/10/4/,confirmed and probable,Winnebago County,6018,5813,205,14045
2020/10/5/,confirmed and probable,Winnebago County,6259,6048,211,14045
2020/10/6/,confirmed and probable,Winnebago County,6450,6233,217,14045
2020/10/7/,confirmed and probable,Winnebago County,6661,6437,224,14045
2020/10/8/,confirmed and probable,Winnebago County,6841,6598,243,14045
2020/10/9/,confirmed and probable,Winnebago County,6997,6744,253,14045
2020/10/10/,confirmed and probable,Winnebago County,7087,6834,253,14045
2020/10/11/,confirmed and probable,Winnebago County,7200,6914,286,14045
2020/10/12/,confirmed and probable,Winnebago County,7403,7102,301,14045
2020/10/13/,confirmed and probable,Winnebago County,7574,7263,311,14045
2020/10/14/,confirmed and probable,Winnebago County,7800,7477,323,14045
2020/10/15/,confirmed and probable,Winnebago County,8125,7745,380,14045
2020/10/16/,confirmed and probable,Winnebago County,8254,7865,389,14045
2020/10/17/,confirmed and probable,Winnebago County,8340,7951,389,14045
2020/10/18/,confirmed and probable,Winnebago County,8401,8009,392,14045
2020/10/19/,confirmed and probable,Winnebago County,8613,8219,394,14045
2020/10/20/,confirmed and probable,Winnebago County,8733,8334,399,14045
2020/10/21/,confirmed and probable,Winnebago County,8914,8511,403,14045
2020/10/22/,confirmed and probable,Winnebago County,9124,8705,419,14045
2020/10/23/,confirmed and probable,Winnebago County,9287,8846,441,14045
2020/10/24/,confirmed and probable,Winnebago County,9383,8939,444,14045
2020/10/25/,confirmed and probable,Winnebago County,9447,9000,447,14045
2020/10/26/,confirmed and probable,Winnebago County,9666,9212,454,14045
